id,clase_construcion,clase_zonificacion,proximidad_calle,area_propiedad,acceso_carretera,acceso_callejon,forma_propiedad,nivelado_propiedad,tipo_servicios,tipo_solar,nivelado_solar,vecindarion,proximidad_ferrocarril,proximidad_ferrocarril2,tipo_propiedad,estilo_propiedad,calidad_material,condicion_general,anio_construcion,anio_remodelacion,tipo_techo,material_techo,cubierta_exterior,revestimiento_exterior,tipo_chapa,area_revestimiento,calidad_exterior,condicion_exterior,tipo_cimiento,calidad_sotano,condicion_sotano,exposicion_sotano,tipo_sotano1,area_asotano1,tipo_sotano2,area_sotano2,area_nosotano,area_sotano,tipo_calefacion,calidad_calefacion,tipo_aireAcond,tipo_electricidad,area_piso1,area_piso2,area_bajacalidad,area_habitableUp,n_baniosSotano,n_mitadBanioSotano,n_banios,n_medioBanio,BedroomAbvGr,KitchenAbvGr,calidad_cocina,n_habitacionesNoBanios,calificacion_domestica,n_chimeneas,calidad_chimeneas,tipo_garage,anio_garage,acabado_garage,area_garageCoches,area_garage,calidad_garage,condicion_garage,tipo_entrada,area_madera,area_porcheAbierto,area_porcheCerrado,area_tresEstaPorche,area_pantalla_porche,area_pisicina,calidad_piscina,calidad_cerca,caracteristicas_noCubiertas,valor_miscelanea,mes_vendido,anio_vendido,tipo_venta,condicion_venta,precio
1233,DUPLEX,LD,70.0,9842,P,,0,LVL,ALLPUB,FR,0,NAmes,NORNAM,NORMAL,D,OS,4,5,1962,1962,G,SS,HB,HDBOARD,N,0.0,TA,2,S,,,,,0.0,,0.0,0.0,0.0,GASA,2,1,SBRKR,1224,0,0,1224,0.0,0.0,2,0,2,2,TA,6,TYP,0,,CARP,1962.0,UNF,2.0,462.0,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2007,WD,NORMAL,101800.0
1234,NEWERSTYLES,LD,,12160,P,,1,LVL,ALLPUB,INSIDE,0,NAmes,NORNAM,NORMAL,SD,OS,5,5,1959,1959,H,SS,PW,PLYWOOD,BF,180.0,TA,2,CB,3.0,3.0,1.0,3.0,1000.0,1.0,0.0,188.0,1188.0,GASA,1,1,SBRKR,1188,0,0,1188,1.0,0.0,1,0,3,1,TA,6,TYP,0,,ATTCH,1959.0,RFN,2.0,531.0,TA,TA,Y,0,0,0,0,0,0,,MNPRV,,0,5,2010,COD,ABNORMAL,142000.0
1235,OLDER,HD,55.0,8525,P,,0,BNK,ALLPUB,INSIDE,0,SWISU,NORNAM,NORMAL,SD,TS,5,6,1911,1950,G,SS,MS,METALSD,N,0.0,TA,2,PC,3.0,3.0,3.0,1.0,0.0,1.0,0.0,940.0,940.0,GASA,2,0,FUSEA,1024,940,0,1964,0.0,0.0,1,1,4,1,TA,7,TYP,0,,,,,0.0,0.0,,,N,0,192,0,0,0,0,,,,0,11,2008,WD,ABNORMAL,130000.0
1236,OLDER,LD,96.0,13132,P,,0,LVL,ALLPUB,INSIDE,0,Crawfor,NORNAM,NORMAL,SD,TS,5,5,1914,1950,G,SS,WS,WDSDNG,N,0.0,TA,2,BT,4.0,3.0,2.0,1.0,0.0,1.0,0.0,747.0,747.0,GASA,3,1,FUSEF,892,892,0,1784,0.0,0.0,1,1,4,1,TA,9,TYP,0,,DETCH,1914.0,UNF,1.0,180.0,FA,FA,N,203,40,0,0,0,0,,,,0,7,2006,WD,NORMAL,138887.0
1237,PUDNEWER,LD,36.0,2628,P,,0,LVL,ALLPUB,INSIDE,0,NridgHt,NORNAM,NORMAL,TIU,TS,7,5,2003,2003,G,SS,VS,WDSHING,S,106.0,GD,2,PC,4.0,3.0,1.0,1.0,0.0,1.0,0.0,764.0,764.0,GASA,4,1,SBRKR,764,862,0,1626,0.0,0.0,2,1,2,1,GD,6,TYP,0,,BUIN,2003.0,RFN,2.0,474.0,TA,TA,Y,0,27,0,0,0,0,,,,0,6,2010,WD,NORMAL,175500.0
1238,NEWER,LD,41.0,12393,P,,2,LVL,ALLPUB,FR,0,CollgCr,NORNAM,NORMAL,SD,TS,7,5,2004,2005,G,SS,VS,VINYLSD,N,0.0,GD,2,PC,4.0,3.0,1.0,1.0,0.0,1.0,0.0,847.0,847.0,GASA,4,1,SBRKR,847,1101,0,1948,0.0,0.0,2,1,4,1,GD,8,TYP,1,GD,BUIN,2004.0,FIN,2.0,434.0,TA,TA,Y,100,48,0,0,0,0,,,,0,9,2006,WD,NORMAL,195000.0
1239,NEWERSTYLES,LD,63.0,13072,P,,0,LVL,ALLPUB,INSIDE,0,SawyerW,RRAE,NORMAL,SD,OS,6,5,2005,2005,G,SS,VS,VINYLSD,N,0.0,GD,2,PC,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1141.0,1141.0,GASA,4,1,SBRKR,1141,0,0,1141,0.0,0.0,1,1,3,1,TA,6,TYP,0,,DETCH,2005.0,UNF,2.0,484.0,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2006,WD,ABNORMAL,142500.0
1240,NEWERSTYLES,LD,64.0,9037,P,,1,HLS,ALLPUB,INSIDE,0,Timber,NORNAM,NORMAL,SD,OS,8,5,2006,2006,H,SS,VS,VINYLSD,BF,32.0,GD,2,PC,4.0,3.0,3.0,6.0,428.0,1.0,0.0,1048.0,1476.0,GASA,4,1,SBRKR,1484,0,0,1484,0.0,0.0,2,0,2,1,EX,6,TYP,1,GD,ATTCH,2006.0,RFN,2.0,472.0,TA,TA,Y,120,33,0,0,0,0,,,,0,12,2007,WD,NORMAL,265900.0
1241,NEWER,LD,65.0,8158,P,,0,LVL,ALLPUB,INSIDE,0,CollgCr,NORNAM,NORMAL,SD,TS,7,5,2003,2003,G,SS,VS,VINYLSD,BF,252.0,GD,2,PC,4.0,3.0,1.0,6.0,550.0,1.0,0.0,334.0,884.0,GASA,4,1,SBRKR,884,884,0,1768,1.0,0.0,2,1,3,1,GD,8,TYP,0,,ATTCH,2003.0,RFN,2.0,543.0,TA,TA,Y,0,63,0,0,0,0,,,,0,7,2008,WD,NORMAL,224900.0
1242,NEWERSTYLES,LD,83.0,9849,P,,0,LVL,ALLPUB,INSIDE,0,Somerst,NORNAM,NORMAL,SD,OS,7,6,2007,2007,H,SS,VS,VINYLSD,S,0.0,GD,2,PC,4.0,3.0,3.0,1.0,0.0,1.0,0.0,1689.0,1689.0,GASA,4,1,SBRKR,1689,0,0,1689,0.0,0.0,2,0,3,1,GD,7,TYP,0,,ATTCH,2007.0,RFN,3.0,954.0,TA,TA,Y,0,56,0,0,0,0,,,,0,6,2007,NEW,PARTIAL,248328.0
1243,FOYER,LD,85.0,10625,P,,0,LVL,ALLPUB,INSIDE,0,NWAmes,NORNAM,NORMAL,SD,SF,7,6,1974,1974,G,SS,PW,PLYWOOD,BF,81.0,TA,2,CB,4.0,3.0,4.0,6.0,885.0,2.0,168.0,0.0,1053.0,GASA,2,1,SBRKR,1173,0,0,1173,1.0,0.0,2,0,3,1,GD,6,TYP,2,TA,ATTCH,1974.0,RFN,2.0,528.0,TA,TA,Y,0,120,0,0,0,0,,MNPRV,,0,1,2010,WD,FAMILY,170000.0
1244,NEWERSTYLES,LD,107.0,13891,P,,0,LVL,ALLPUB,INSIDE,0,NridgHt,NORNAM,NORMAL,SD,OS,10,5,2006,2006,G,SS,VS,VINYLSD,,,EX,2,PC,5.0,4.0,4.0,6.0,1386.0,1.0,0.0,690.0,2076.0,GASA,4,1,SBRKR,2076,0,0,2076,1.0,0.0,2,1,2,1,EX,7,TYP,1,GD,ATTCH,2006.0,FIN,3.0,850.0,TA,TA,Y,216,229,0,0,0,0,,,,0,9,2006,NEW,PARTIAL,465000.0
1245,OLDER,LD,,11435,P,,1,HLS,ALLPUB,CORNER,1,Crawfor,NORNAM,NORMAL,SD,TS,8,7,1929,1950,G,SS,BF,STUCCO,N,0.0,TA,2,PC,4.0,3.0,1.0,1.0,0.0,1.0,0.0,792.0,792.0,GASA,1,1,SBRKR,792,725,0,1517,0.0,0.0,1,0,3,1,GD,7,TYP,2,GD,DETCH,1931.0,UNF,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2006,WD,NORMAL,230000.0
1246,MULTILEVEL,LD,78.0,12090,P,,0,LVL,ALLPUB,INSIDE,0,NWAmes,NORNAM,NORMAL,SD,SL,6,7,1984,2003,H,SS,VS,VINYLSD,BF,74.0,TA,2,CB,4.0,3.0,1.0,1.0,0.0,1.0,0.0,585.0,585.0,GASA,4,1,SBRKR,1140,728,0,1868,0.0,0.0,3,1,3,1,TA,7,TYP,1,TA,BUIN,1984.0,FIN,2.0,477.0,TA,TA,Y,268,112,0,0,147,0,,,,0,1,2007,WD,ABNORMAL,178000.0
1247,NEWER,VR,65.0,8125,P,,0,LVL,ALLPUB,INSIDE,0,Somerst,NORNAM,NORMAL,SD,TS,7,5,2005,2006,G,SS,VS,VINYLSD,N,0.0,GD,2,PC,4.0,3.0,1.0,1.0,0.0,1.0,0.0,756.0,756.0,GASA,4,1,SBRKR,756,797,0,1553,0.0,0.0,2,1,3,1,GD,6,TYP,0,,ATTCH,2005.0,RFN,2.0,615.0,TA,TA,Y,0,45,0,0,0,0,,,,0,3,2006,NEW,PARTIAL,186500.0
1248,MULTILEVEL,LD,,12328,P,,1,LVL,ALLPUB,INSIDE,0,Mitchel,NORNAM,NORMAL,SD,SL,6,5,1976,1976,G,SS,HB,HDBOARD,BF,335.0,TA,2,CB,3.0,3.0,3.0,6.0,539.0,1.0,0.0,473.0,1012.0,GASA,2,1,SBRKR,1034,0,0,1034,1.0,0.0,1,0,3,1,TA,6,TYP,0,,ATTCH,1976.0,UNF,3.0,888.0,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2010,WD,NORMAL,169900.0
1249,STORYAGES,MD,60.0,9600,P,G,0,LVL,ALLPUB,INSIDE,0,OldTown,NORNAM,NORMAL,SD,THU,6,5,1917,1950,G,SS,AS,ASBSHNG,N,0.0,TA,2,BT,4.0,3.0,1.0,3.0,319.0,1.0,0.0,416.0,735.0,OTHW,1,0,SBRKR,1134,924,0,2058,0.0,0.0,1,1,3,1,TA,8,TYP,1,GD,DETCH,1950.0,UNF,2.0,396.0,FA,FA,P,0,0,259,0,0,0,,,,0,4,2008,WD,NORMAL,129500.0
1250,NEWERSTYLES,LD,60.0,7200,P,,0,LVL,ALLPUB,INSIDE,0,NAmes,NORNAM,NORMAL,SD,OS,5,7,1950,1950,G,SS,MS,METALSD,N,0.0,TA,2,CB,3.0,3.0,1.0,4.0,534.0,3.0,96.0,246.0,876.0,GASA,2,1,SBRKR,988,0,0,988,0.0,0.0,1,0,3,1,TA,6,TYP,0,,ATTCH,1950.0,UNF,1.0,276.0,TA,TA,Y,0,80,0,0,0,0,,,,0,5,2007,WD,NORMAL,119000.0
1251,NEWERSTYLES,LD,93.0,11160,P,,0,LVL,ALLPUB,CORNER,0,NAmes,NORNAM,NORMAL,SD,OS,7,5,1968,1968,H,SS,BF,BRKFACE,N,0.0,GD,2,CB,3.0,3.0,1.0,5.0,1065.0,1.0,0.0,1045.0,2110.0,GASA,4,1,SBRKR,2110,0,0,2110,1.0,0.0,2,1,3,1,EX,8,TYP,2,TA,ATTCH,1968.0,FIN,2.0,522.0,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2010,WD,NORMAL,244000.0
1252,PUD,LD,,3136,P,,1,LVL,ALLPUB,CORNER,0,NridgHt,NORNAM,NORMAL,TEU,OS,7,5,2003,2003,G,SS,VS,WDSHING,S,163.0,GD,2,PC,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1405.0,1405.0,GASA,4,1,SBRKR,1405,0,0,1405,0.0,0.0,2,0,2,1,GD,6,TYP,1,GD,ATTCH,2003.0,RFN,2.0,478.0,TA,TA,Y,148,36,0,0,0,0,,,,0,3,2006,WD,NORMAL,171750.0
1253,NEWERSTYLES,LD,62.0,9858,P,,0,LVL,ALLPUB,INSIDE,0,Mitchel,NORNAM,NORMAL,SD,OS,5,6,1968,1968,G,SS,HB,HDBOARD,N,0.0,TA,2,CB,3.0,3.0,1.0,4.0,510.0,1.0,0.0,354.0,864.0,GASA,2,1,SBRKR,874,0,0,874,1.0,0.0,1,0,3,1,TA,5,TYP,0,,ATTCH,1968.0,RFN,1.0,288.0,TA,TA,Y,33,0,0,0,0,0,,GDWO,SHED,600,11,2009,WD,NORMAL,130000.0
1254,NEWER,LD,,17542,P,,1,LVL,ALLPUB,INSIDE,0,Veenker,NORNAM,NORMAL,SD,TS,7,7,1974,2003,G,SS,WS,WDSDNG,N,0.0,GD,2,CB,3.0,3.0,4.0,2.0,125.0,5.0,1031.0,36.0,1192.0,GASA,2,1,SBRKR,1516,651,0,2167,1.0,0.0,2,1,3,1,GD,9,TYP,2,GD,ATTCH,1974.0,RFN,2.0,518.0,TA,TA,Y,220,47,0,0,0,0,,MNPRV,,0,7,2007,WD,NORMAL,294000.0
1255,NEWER,LD,60.0,6931,P,,0,LVL,ALLPUB,INSIDE,0,Edwards,NORNAM,NORMAL,SD,TS,7,5,2003,2004,G,SS,VS,VINYLSD,S,92.0,GD,2,PC,4.0,3.0,1.0,1.0,0.0,1.0,0.0,746.0,746.0,GASA,4,1,SBRKR,760,896,0,1656,0.0,0.0,2,1,3,1,GD,7,TYP,1,GD,BUIN,2003.0,FIN,2.0,397.0,TA,TA,Y,178,128,0,0,0,0,,,,0,7,2008,WD,NORMAL,165400.0
1256,FINISHEDAGES,MD,52.0,6240,P,,0,LVL,ALLPUB,INSIDE,0,BrkSide,NORNAM,NORMAL,SD,OHF,6,6,1931,1950,G,SS,WS,WDSDNG,N,0.0,TA,2,BT,3.0,2.0,1.0,2.0,425.0,1.0,0.0,459.0,884.0,GASA,2,1,FUSEA,959,408,0,1367,0.0,0.0,1,0,3,1,TA,6,TYP,1,GD,DETCH,1978.0,UNF,1.0,560.0,TA,TA,Y,0,0,0,0,120,0,,,,0,11,2007,WD,NORMAL,127500.0
1257,NEWERSTYLES,LD,91.0,14303,P,,1,LVL,ALLPUB,CORNER,0,NoRidge,NORNAM,NORMAL,SD,OS,8,5,1994,1994,H,SS,HB,HDBOARD,BF,554.0,GD,2,PC,4.0,3.0,4.0,6.0,1314.0,1.0,0.0,672.0,1986.0,GASA,4,1,SBRKR,1987,0,0,1987,1.0,0.0,2,0,2,1,GD,7,TYP,1,TA,ATTCH,1994.0,FIN,2.0,691.0,TA,TA,Y,262,36,0,0,0,0,,,,0,8,2008,WD,NORMAL,301500.0
1258,OLDER,LD,56.0,4060,P,,0,LVL,ALLPUB,CORNER,0,Edwards,FEEDR,NORMAL,SD,OS,5,8,1922,1950,G,SS,WS,WDSDNG,N,0.0,TA,2,PC,2.0,3.0,1.0,1.0,0.0,1.0,0.0,864.0,864.0,GASA,4,1,SBRKR,864,0,0,864,0.0,0.0,1,0,2,1,TA,4,TYP,0,,,,,0.0,0.0,,,Y,0,96,0,0,0,0,,,,0,7,2009,WD,NORMAL,99900.0
1259,MULTILEVEL,LD,59.0,9587,P,,1,LVL,ALLPUB,INSIDE,0,Gilbert,NORNAM,NORMAL,SD,SL,7,5,2005,2005,G,SS,VS,VINYLSD,S,182.0,GD,2,PC,4.0,3.0,4.0,6.0,655.0,1.0,0.0,201.0,856.0,GASA,4,1,SBRKR,1166,0,0,1166,1.0,0.0,2,0,2,1,GD,5,TYP,0,,ATTCH,2005.0,FIN,2.0,400.0,TA,TA,Y,212,0,0,0,0,0,,,,0,7,2008,WD,NORMAL,190000.0
1260,NEWERSTYLES,LD,65.0,9750,P,,0,LVL,ALLPUB,FR,0,NAmes,NORNAM,NORMAL,SD,OS,6,8,1969,1969,G,SS,HB,HDBOARD,N,0.0,TA,2,CB,4.0,3.0,1.0,5.0,602.0,2.0,438.0,14.0,1054.0,GASA,3,1,SBRKR,1054,0,0,1054,1.0,0.0,1,1,3,1,TA,6,TYP,0,,ATTCH,1969.0,UNF,2.0,460.0,TA,TA,Y,180,0,0,0,80,0,,,,0,7,2008,WD,NORMAL,151000.0
1261,NEWER,LD,,24682,P,,3,LVL,ALLPUB,CULDSAC,0,Gilbert,RRAN,NORMAL,SD,TS,6,5,1999,1999,G,SS,VS,VINYLSD,N,0.0,TA,2,PC,4.0,3.0,1.0,1.0,0.0,1.0,0.0,841.0,841.0,GASA,4,1,SBRKR,892,783,0,1675,0.0,0.0,2,1,3,1,TA,7,TYP,1,TA,BUIN,1999.0,FIN,2.0,502.0,TA,TA,Y,0,103,0,0,0,0,,,,0,6,2009,WD,NORMAL,181000.0
1262,NEWERSTYLES,LD,80.0,9600,P,,0,LVL,ALLPUB,INSIDE,0,NAmes,NORNAM,NORMAL,SD,OS,5,6,1956,1956,H,SS,MS,METALSD,N,0.0,TA,2,CB,3.0,3.0,1.0,3.0,504.0,1.0,0.0,546.0,1050.0,GASA,3,1,SBRKR,1050,0,0,1050,0.0,0.0,1,0,2,1,TA,5,TYP,0,,ATTCH,1956.0,UNF,1.0,338.0,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2009,WD,NORMAL,128900.0
1263,FINISHEDAGES,LD,,11250,P,,0,LVL,ALLPUB,INSIDE,0,ClearCr,NORNAM,NORMAL,SD,OHF,4,5,1957,1989,G,SS,WS,WDSDNG,N,0.0,TA,2,CB,3.0,3.0,3.0,1.0,0.0,1.0,0.0,1104.0,1104.0,GASA,4,1,FUSEA,1104,684,0,1788,1.0,0.0,1,0,5,1,TA,8,MINN,2,TA,ATTCH,1957.0,UNF,1.0,304.0,TA,TA,Y,120,0,0,0,0,0,,,,0,11,2009,WD,NORMAL,161500.0
1264,OLDER,LD,60.0,13515,P,P,0,LVL,ALLPUB,INSIDE,0,BrkSide,NORNAM,NORMAL,SD,TS,6,6,1919,1950,GB,SS,WS,WDSDNG,N,0.0,TA,2,PC,3.0,3.0,1.0,1.0,0.0,1.0,0.0,764.0,764.0,GASA,4,1,FUSEA,1060,764,0,1824,0.0,0.0,1,0,3,1,TA,8,TYP,1,GD,DETCH,1940.0,UNF,2.0,520.0,TA,TA,N,0,0,126,0,0,0,,GDPRV,,0,7,2007,WD,NORMAL,180500.0
1265,PUD,HD,34.0,4060,P,,0,LVL,ALLPUB,INSIDE,0,NAmes,NORNAM,NORMAL,TEU,OS,6,5,1998,1999,G,SS,MS,METALSD,N,0.0,GD,2,PC,4.0,3.0,1.0,6.0,266.0,1.0,0.0,1139.0,1405.0,GASA,4,1,SBRKR,1337,0,0,1337,1.0,0.0,2,0,2,1,GD,5,TYP,0,,ATTCH,1998.0,FIN,2.0,511.0,TA,TA,Y,144,68,0,0,0,0,,,,0,8,2008,COD,ABNORMAL,181000.0
1266,PUDNEWER,VR,35.0,3735,P,,0,LVL,ALLPUB,FRR,0,Somerst,NORNAM,NORMAL,TEU,TS,7,5,1999,1999,H,SS,MS,METALSD,BF,218.0,GD,2,PC,4.0,3.0,1.0,6.0,450.0,1.0,0.0,241.0,691.0,GASA,4,1,SBRKR,713,739,0,1452,1.0,0.0,2,1,3,1,GD,6,TYP,0,,DETCH,1999.0,UNF,2.0,506.0,TA,TA,Y,0,34,0,0,0,0,,,,0,3,2006,WD,NORMAL,183900.0
1267,CONVERSION,MD,60.0,10120,P,,1,BNK,ALLPUB,INSIDE,0,OldTown,FEEDR,NORMAL,TC,THU,7,4,1910,1950,H,SS,WS,WDSDNG,N,0.0,FA,2,CB,3.0,3.0,1.0,1.0,0.0,1.0,0.0,925.0,925.0,GASA,2,0,FUSEF,964,925,0,1889,0.0,0.0,1,1,4,2,TA,9,TYP,1,GD,DETCH,1960.0,UNF,1.0,308.0,TA,TA,N,0,0,264,0,0,0,,MNPRV,,0,1,2007,WD,NORMAL,122000.0
1268,NEWERSTYLES,LD,89.0,13214,P,,1,HLS,ALLPUB,INSIDE,0,Timber,NORNAM,NORMAL,SD,OS,9,5,2008,2009,H,SS,STC,CEMNTBD,N,0.0,EX,2,PC,5.0,3.0,4.0,1.0,0.0,1.0,0.0,2002.0,2002.0,GASA,4,1,SBRKR,2018,0,0,2018,0.0,0.0,2,0,3,1,EX,10,TYP,1,GD,ATTCH,2009.0,FIN,3.0,746.0,TA,TA,Y,144,76,0,0,0,0,,,,0,5,2010,WD,NORMAL,378500.0
1269,FINISHEDAGES,LD,,14100,P,,1,LVL,ALLPUB,INSIDE,1,Crawfor,NORNAM,NORMAL,SD,OHF,8,9,1935,1997,G,SS,STC,STUCCO,BF,632.0,TA,3,CB,3.0,3.0,2.0,3.0,192.0,1.0,0.0,536.0,728.0,GASA,4,1,SBRKR,1968,1479,0,3447,0.0,0.0,3,1,4,1,GD,11,TYP,2,GD,BUIN,1982.0,UNF,3.0,1014.0,TA,TA,Y,314,12,0,0,0,0,,GDWO,,0,5,2008,WD,NORMAL,381000.0
1270,FINISHEDAGES,LD,78.0,11344,P,,0,LVL,ALLPUB,INSIDE,0,NAmes,FEEDR,NORMAL,SD,OHF,5,5,1958,1958,G,SS,MS,METALSD,BF,180.0,TA,2,CB,3.0,3.0,1.0,4.0,460.0,1.0,0.0,414.0,874.0,GASW,2,1,FUSEA,874,650,0,1524,0.0,0.0,1,1,3,1,TA,7,TYP,0,,ATTCH,1958.0,UNF,1.0,315.0,TA,TA,Y,0,0,0,0,0,0,,GDWO,,0,7,2007,WD,NORMAL,144000.0
1271,ATTICAGES,LD,,23595,P,,0,LOW,ALLPUB,INSIDE,2,ClearCr,NORNAM,NORMAL,SD,OS,7,6,1979,1979,S,WSH,PW,PLYWOOD,N,0.0,GD,2,PC,4.0,3.0,4.0,6.0,1258.0,1.0,0.0,74.0,1332.0,GASA,2,1,SBRKR,1332,192,0,1524,2.0,0.0,0,1,0,1,GD,4,TYP,1,TA,ATTCH,1979.0,FIN,2.0,586.0,TA,TA,Y,268,0,0,0,0,0,,,,0,4,2010,WD,NORMAL,260000.0
1272,NEWERSTYLES,LD,,9156,P,,1,LVL,ALLPUB,INSIDE,0,NWAmes,POSN,NORMAL,SD,OS,6,7,1968,1968,H,SS,BF,BRKFACE,N,0.0,TA,2,CB,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1489.0,1489.0,GASA,3,1,SBRKR,1489,0,0,1489,0.0,0.0,2,0,3,1,GD,7,TYP,1,GD,ATTCH,1968.0,RFN,2.0,462.0,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2009,WD,NORMAL,185750.0
1273,NEWERSTYLES,LD,,13526,P,,1,LVL,ALLPUB,CULDSAC,0,Sawyer,NORNAM,NORMAL,SD,OS,5,6,1965,1965,H,SS,HB,PLYWOOD,BF,114.0,TA,2,CB,3.0,3.0,1.0,4.0,560.0,2.0,375.0,0.0,935.0,GASA,2,1,SBRKR,935,0,0,935,1.0,0.0,1,0,3,1,TA,5,TYP,0,,ATTCH,1965.0,UNF,1.0,288.0,TA,TA,Y,180,0,0,0,0,0,,MNPRV,,0,11,2006,WD,NORMAL,137000.0
1274,MULTILEVEL,LD,124.0,11512,P,,1,LVL,ALLPUB,CORNER,0,Edwards,NORNAM,NORMAL,SD,SL,6,7,1959,2006,G,SS,PW,PLYWOOD,BF,84.0,TA,2,CB,3.0,3.0,3.0,5.0,719.0,1.0,0.0,300.0,1019.0,GASA,3,1,SBRKR,1357,0,0,1357,1.0,0.0,1,0,2,1,EX,5,TYP,1,GD,BS,1959.0,RFN,1.0,312.0,TA,TA,Y,0,0,0,0,163,0,,GDPRV,,0,5,2008,WD,NORMAL,177000.0
1275,FINISHEDAGES,LD,53.0,5362,P,,0,LVL,ALLPUB,CORNER,0,Crawfor,NORNAM,NORMAL,SD,OHF,5,6,1910,2003,G,SS,WS,WDSHING,N,0.0,TA,2,PC,3.0,3.0,1.0,1.0,0.0,1.0,0.0,661.0,661.0,GASA,4,1,SBRKR,661,589,0,1250,0.0,0.0,2,0,3,1,TA,8,TYP,1,GD,DETCH,1985.0,UNF,2.0,552.0,TA,TA,Y,242,0,81,0,0,0,,,,0,11,2007,WD,NORMAL,139000.0
1276,DUPLEX,LD,95.0,11345,P,,0,LVL,ALLPUB,CORNER,0,NAmes,FEEDR,NORMAL,D,TS,5,5,1948,1950,G,RLL,AS,ASBSHNG,S,567.0,TA,2,CB,3.0,3.0,1.0,3.0,220.0,1.0,0.0,708.0,928.0,GASA,3,1,FUSEA,928,992,0,1920,0.0,0.0,2,0,4,2,TA,10,TYP,0,,DETCH,1948.0,UNF,2.0,400.0,TA,FA,Y,0,0,0,0,0,0,,,,0,7,2007,WD,NORMAL,137000.0
1277,NEWER,LD,,12936,P,,1,LVL,ALLPUB,CULDSAC,0,NWAmes,NORNAM,NORMAL,SD,TS,6,6,1972,1972,G,SS,HB,PLYWOOD,N,0.0,TA,2,CB,3.0,4.0,1.0,4.0,593.0,1.0,0.0,130.0,723.0,GASA,2,1,SBRKR,735,660,0,1395,0.0,1.0,1,1,3,1,TA,6,TYP,1,TA,ATTCH,1972.0,UNF,2.0,497.0,TA,TA,Y,294,116,0,0,0,0,,,,0,12,2009,WD,NORMAL,162000.0
1278,MULTILEVEL,LD,,17871,P,,1,LVL,ALLPUB,CULDSAC,0,NWAmes,NORNAM,NORMAL,SD,SL,6,5,1967,1976,G,SS,HB,HDBOARD,BF,359.0,TA,2,CB,4.0,3.0,3.0,5.0,528.0,1.0,0.0,1152.0,1680.0,GASA,1,1,SBRKR,1724,0,0,1724,1.0,0.0,1,1,3,1,TA,7,TYP,1,GD,ATTCH,1967.0,RFN,2.0,480.0,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2009,WD,NORMAL,197900.0
1279,NEWER,LD,75.0,9473,P,,0,LVL,ALLPUB,INSIDE,0,CollgCr,NORNAM,NORMAL,SD,TS,8,5,2002,2002,G,SS,VS,VINYLSD,,,GD,2,PC,4.0,3.0,1.0,6.0,804.0,1.0,0.0,324.0,1128.0,GASA,4,1,SBRKR,1128,903,0,2031,1.0,0.0,2,1,3,1,GD,7,TYP,1,GD,ATTCH,2002.0,RFN,2.0,577.0,TA,TA,Y,0,211,0,0,0,0,,,,0,3,2008,WD,NORMAL,237000.0
1280,FINISHEDAGES,C,60.0,7500,P,,0,LVL,ALLPUB,INSIDE,0,IDOTRR,NORNAM,NORMAL,SD,OHF,4,4,1920,1950,G,SS,MS,METALSD,N,0.0,TA,3,CB,3.0,3.0,1.0,1.0,0.0,1.0,0.0,698.0,698.0,GASA,2,1,FUSEA,698,430,0,1128,0.0,0.0,1,0,2,1,TA,6,TYP,0,,DETCH,1980.0,RFN,2.0,528.0,TA,TA,Y,30,0,164,0,0,0,,,,0,4,2010,COD,ABNORMAL,68400.0
1281,NEWERSTYLES,LD,67.0,9808,P,,1,LVL,ALLPUB,INSIDE,0,CollgCr,NORNAM,NORMAL,SD,OS,7,5,2002,2002,G,SS,VS,VINYLSD,BF,110.0,GD,2,PC,4.0,3.0,1.0,6.0,788.0,1.0,0.0,785.0,1573.0,GASA,4,1,SBRKR,1573,0,0,1573,1.0,0.0,2,0,3,1,GD,6,TYP,0,,ATTCH,2002.0,RFN,2.0,544.0,TA,TA,Y,0,72,0,0,0,0,,,,0,3,2009,WD,NORMAL,227000.0
1282,NEWERSTYLES,LD,50.0,8049,P,,1,LVL,ALLPUB,CULDSAC,0,Timber,NORNAM,NORMAL,SD,OS,7,5,1990,1990,H,SS,HB,HDBOARD,BF,54.0,TA,2,CB,4.0,3.0,1.0,5.0,1053.0,1.0,0.0,256.0,1309.0,GASA,2,1,SBRKR,1339,0,0,1339,1.0,0.0,2,0,2,1,TA,6,TYP,1,TA,ATTCH,1990.0,FIN,2.0,484.0,GD,GD,Y,0,58,0,0,90,0,,,,0,7,2006,WD,NORMAL,180000.0
